antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Region
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.105263158,0.105263158,0.105263158,1,9.5,0.094182825,inf,Australia
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.105263158,0.105263158,0.105263158,1,9.5,0.094182825,inf,Australia
frozenset({'RED DINER WALL CLOCK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'RED DINER WALL CLOCK'}),0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'RED DINER WALL CLOCK'}),0.105263158,0.070175439,0.070175439,0.666666667,9.5,0.06278855,2.789473684,Australia
frozenset({'RED DINER WALL CLOCK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.070175439,0.105263158,0.070175439,1,9.5,0.06278855,inf,Australia
frozenset({'RED RETROSPOT UMBRELLA'}),frozenset({'BLACK/BLUE POLKADOT UMBRELLA'}),0.070175439,0.087719298,0.070175439,1,11.4,0.064019698,inf,Australia
frozenset({'BLACK/BLUE POLKADOT UMBRELLA'}),frozenset({'RED RETROSPOT UMBRELLA'}),0.087719298,0.070175439,0.070175439,0.8,11.4,0.064019698,4.649122807,Australia
frozenset({'BAKING SET 9 PIECE RETROSPOT '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.122807018,0.140350877,0.070175439,0.571428571,4.071428571,0.052939366,2.005847953,Australia
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'BAKING SET 9 PIECE RETROSPOT '}),0.140350877,0.122807018,0.070175439,0.5,4.071428571,0.052939366,1.754385965,Australia
frozenset({'SET OF 6 SOLDIER SKITTLES'}),frozenset({'4 TRADITIONAL SPINNING TOPS'}),0.122807018,0.087719298,0.070175439,0.571428571,6.514285714,0.059402893,2.128654971,Australia
